,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,no_of_investors,lds,year
517,2016-02-11,LaundryAnna,Consumer Internet,On-Demand Washing & Dry Cleaning Services,bangalore,Undisclosed Investors,Seed Funding,150000,1.0,['Undisclosed Investors'],2016
518,2016-02-11,LetsMD,Consumer Internet,Healthcare Services Comparison Platform,new delhi,"Calcutta Angels Network, LetsVenture, Anupam Mittal, Currae Healthtech Fund",Seed Funding,1070000,4.0,"['Calcutta Angels Network', ' LetsVenture', ' Anupam Mittal', ' Currae Healthtech Fund']",2016
519,2016-02-11,Sattviko,Food & Beverage,Health Food Restaurant Chain,new delhi,"Raman Roy, Ashish Gupta, Yogesh Andlay, Vaibhav Jain",Seed Funding,1070000,4.0,"['Raman Roy', ' Ashish Gupta', ' Yogesh Andlay', ' Vaibhav Jain']",2016
520,2016-03-11,Zarget,Technology,SaaS-based web optimisation and marketing platform,chennai,Sequoia India,Private Equity,6000000,1.0,['Sequoia India'],2016
521,2016-03-11,DoSelect,Consumer Internet,Skill Showcasing platform,bangalore,"3one4 Capital, Mumbai Angels, Aarin Capital",Seed Funding,1070000,3.0,"['3one4 Capital', ' Mumbai Angels', ' Aarin Capital']",2016
522,2016-03-11,EasyPolicy,Consumer Internet,Online insurance Portal,noida,"Unilazer Ventures,",Private Equity,10000000,2.0,"['Unilazer Ventures', '']",2016
523,2016-04-11,Browntape,Technology,cloud-based software solutions company,goa,Gati Ltd,Private Equity,1070000,1.0,['Gati Ltd'],2016
524,2016-04-11,Connect,Logistics,Last mile Delivery Network,bangalore,Aavishkaar Venture Management,Private Equity,1000000,1.0,['Aavishkaar Venture Management'],2016
525,2016-04-11,Corseco,Technology,AI-based Software as a Service Solution provider,new delhi,"Ameera Shah, Vivek Bhargava",Seed Funding,150000,2.0,"['Ameera Shah', ' Vivek Bhargava']",2016
526,2016-04-11,vImmune,Consumer Internet,Immunisation Management Platform,bangalore,Undisclosed investor,Seed Funding,1070000,1.0,['Undisclosed investor'],2016
527,2016-04-11,The,eCommerce,Gourmet Food etailer,noida,Chandigarh Angels Network,Seed Funding,1070000,1.0,['Chandigarh Angels Network'],2016
528,2016-05-11,Medzin,eCommerce,Online ordering & Delivery of medicines,new delhi,A M Sikander,Seed Funding,45000,1.0,['A M Sikander'],2016
529,2016-05-11,Bizongo,eCommerce,Packaging Material Marketplace,mumbai,"IDG Ventures, Accel Partners",Private Equity,3000000,2.0,"['IDG Ventures', ' Accel Partners']",2016
530,2016-07-11,Rivigo,Technology,Technology based Logistics platform,gurgaon,Warburg Pincus,Private Equity,75000000,1.0,['Warburg Pincus'],2016
531,2016-07-11,JustRide,Consumer Internet,Online Car Sharing platform,mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,3000000,7.0,"['Justin Kan', ' Qasar Younis', ' Paul Bucche', ' Susa Ventures', ' Kima Ventures', ' Axan Venture', ' SCM Holdings']",2016
532,2016-09-11,IIM,Consumer Internet,Online Job Portal,new delhi,India Quotient,Private Equity,2000000,1.0,['India Quotient'],2016
533,2016-09-11,Square,Consumer Internet,Online Property Search Portal,gurgaon,ADAG Reliance Private Equity,Private Equity,12000000,1.0,['ADAG Reliance Private Equity'],2016
534,2016-10-11,GolfLAN,Consumer Internet,Golf Session Online Bookings platform,new delhi,"YourNest Angel Fund, iSON",Private Equity,1000000,2.0,"['YourNest Angel Fund', ' iSON']",2016
535,2016-10-11,Yottaasys,Technology,Data Sciences platform,bangalore,Gleevoaz Ventures,Private Equity,1070000,1.0,['Gleevoaz Ventures'],2016
536,2016-10-11,Tone,Technology,Contactless Payment Solution,bangalore,"Arun Seth, T.V. Mohandas Pai, Anand Chandrasekaran, Deepak Ghaisas",Private Equity,1070000,4.0,"['Arun Seth', ' T.V. Mohandas Pai', ' Anand Chandrasekaran', ' Deepak Ghaisas']",2016
537,2016-11-11,Life,Consumer Internet,Online Diabetes Management platform,gurgaon,RoundGlass Partners,Private Equity,1070000,1.0,['RoundGlass Partners'],2016
538,2016-11-14,Active,Technology,Banking & Fintech Platform,singapore,"Kalaari Capital, IDG Ventures India",Private Equity,3000000,2.0,"['Kalaari Capital', ' IDG Ventures India']",2016
